"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"67750",10,"5","4892","2149","280",44,54,4,9,16,4,167,9,150,30,6,36,"98",9.8
"67751",10,"5","4892","2149","350",44,54,4,9,16,4,167,9,204,30,6,36,"95",9.8
"67760",10,"7","4904","2284","400",45,54,4,9,17,4,169,9,180,31,7,37,"diesel",8.8
"67761",10,"7","4904","2195","450",45,54,4,9,17,4,169,9,204,31,7,37,"diesel",6.8
"67763",10,"7","5304","2265","450",45,54,4,9,17,4,169,9,204,31,7,37,"diesel",7.6
"67764",10,"7","4904","2181","400",45,54,4,9,17,4,169,9,180,30,7,37,"diesel",8.1
"67765",10,"7","4904","2093","450",45,54,4,9,17,4,169,9,204,30,7,37,"diesel",6.6
"67767",10,"7","5304","2162","450",45,54,4,9,17,4,169,9,204,30,7,37,"diesel",7.1
"67768",10,"7","4904","2180","340",45,54,4,9,17,4,167,9,149,31,7,37,"diesel",7
"67769",10,"7","5304","2250","340",45,54,4,9,17,4,167,9,149,31,7,37,"diesel",7.1
"67770",10,"7","4904","2153","340",45,54,4,9,17,4,167,9,140,30,7,37,"diesel",8.2
"67771",10,"7","4904","2047","340",45,54,4,9,17,4,167,9,149,30,7,37,"diesel",6.5
"67773",10,"7","5304","2077","340",45,54,4,9,17,4,167,9,149,30,7,37,"diesel",6.6
"67774",10,"7","4904","2259","280",45,54,4,9,17,4,167,9,140,31,6,36,"diesel",8.3
"67775",10,"7","4904","2169","340",45,54,4,9,17,4,167,9,149,31,6,36,"diesel",7
"67777",10,"7","5304","2238","340",45,54,4,9,17,4,167,9,149,31,6,36,"diesel",7.1
"67778",10,"7","4904","2097","250",45,54,4,9,17,4,167,9,102,30,5,36,"diesel",7.5
"67779",10,"7","4904","2141","280",45,54,4,9,17,4,167,9,140,30,6,36,"diesel",7.7
"67780",10,"7","4904","1946","220",45,54,4,9,17,4,167,9,84,31,5,36,"diesel",6.6
"67781",10,"7","5304","2077","250",45,54,4,9,17,4,167,9,102,30,5,36,"diesel",6.9
"67783",10,"7","4904","2264","350",44,54,4,9,16,4,167,9,204,31,7,37,"95",10.5
"67784",10,"7","4904","2161","350",44,54,4,9,16,4,167,9,204,30,7,37,"95",10.1
"67785",10,"7","5304","2123","350",44,54,4,9,16,4,167,9,204,30,7,37,"95",9.1
"67786",10,"7","5304","2233","350",44,54,4,9,16,4,167,9,204,31,7,37,"95",9.4
"67787",10,"7","4904","2149","280",44,54,4,9,16,4,167,9,150,30,6,36,"95",9.8
"67788",10,"7","5304","2104","280",44,54,4,9,16,4,167,9,149,30,6,36,"95",9.1
"67938",4,"5","4610","1220","140",42,54,4,9,16,2,9,9,100,30,5,36,"95",8
"67939",4,"5","4610","1229","145",48,54,4,9,16,2,9,9,90,30,5,35,"95",8.6
"67940",4,"5","4610","1177","140",48,54,4,9,16,2,9,9,75,30,5,36,"95",8.2
"67941",4,"5","4610","1199","145",48,54,4,9,16,2,9,9,90,30,5,36,"95",7.9
"67942",4,"5","4610","1232","150",41,54,4,9,17,2,167,9,75,30,5,36,"diesel",6.5
"67943",4,"5","4610","1240","235",44,54,4,9,17,2,167,9,110,30,4,35,"diesel",6.1
"67944",4,"5","4610","1246","202",44,54,4,9,17,2,167,9,90,30,4,35,"diesel",6.3
"67945",4,"5","4610","1240","235",44,54,4,9,17,2,167,9,110,30,5,36,"diesel",5.1
"67946",4,"5","4610","1246","202",44,54,4,9,17,2,167,9,90,30,5,36,"diesel",5.3
"67947",4,"5","4610","1229","166",42,54,4,9,16,2,9,9,115,30,4,35,"95",8.9
"67948",4,"5","4610","1199","166",42,54,4,9,16,2,9,9,115,30,5,36,"95",8.1
"67949",4,"5","4610","1259","180",42,54,4,9,16,4,9,9,150,30,5,36,"95",8.5
"67950",4,"5","4610","1355","235",42,53,6,9,16,2,9,9,174,30,4,35,"95",10.7
"67951",4,"5","4610","1325","235",42,53,6,9,16,2,9,9,174,30,5,36,"95",9.6
"67952",8,"5","4600","1220","140",42,54,4,9,16,2,9,9,100,30,5,36,"95",8.2
"67953",8,"5","4600","1250","145",48,54,4,9,16,2,9,9,90,30,4,35,"95",8.8
"67954",8,"5","4600","1211","140",48,54,4,9,16,2,9,9,75,30,5,36,"95",8.3
"67955",8,"5","4600","1224","145",48,54,4,9,16,2,9,9,90,30,5,36,"95",8
"67956",8,"5","4600","1250","150",41,54,4,9,17,2,167,9,75,30,5,36,"diesel",6.6
"67957",8,"5","4600","1285","235",44,54,4,9,17,2,167,9,110,30,4,35,"diesel",6.2
"67958",8,"5","4600","1265","202",44,54,4,9,17,2,167,9,90,30,4,35,"diesel",5.9
"67959",8,"5","4600","1285","235",44,54,4,9,17,2,167,9,110,30,5,36,"diesel",5.2
"67960",8,"5","4600","1265","202",44,54,4,9,17,2,167,9,90,30,5,36,"diesel",5.4
"67961",8,"5","4600","1249","166",42,54,4,9,16,2,9,9,115,30,4,35,"95",9.1
"67962",8,"5","4600","1219","166",42,54,4,9,16,2,9,9,115,30,5,36,"95",8.3
"67963",8,"5","4600","1294","180",42,54,4,9,16,4,9,9,150,30,5,36,"95",8.7
"67964",8,"5","4600","1333","166",42,54,4,9,16,2,9,9,115,31,5,36,"95",8.9
"67965",8,"5","4600","1390","235",42,53,6,9,16,2,9,9,174,30,4,35,"95",10.8
"67966",8,"5","4600","1360","235",42,53,6,9,16,2,9,9,174,30,5,36,"95",9.9
"67967",8,"5","4600","1441","245",42,53,6,9,16,2,9,9,184,31,5,36,"95",10.9
"67968",4,"5","4670","1245","140",42,54,4,9,16,2,9,9,101,30,4,35,"95",8.7
"67969",4,"5","4670","1200","140",42,54,4,9,16,2,9,9,101,30,5,36,"95",8
"67970",4,"5","4670","1265","168",42,54,4,9,16,5,9,9,125,30,4,35,"95",8.9
"67971",4,"5","4670","1345","210",42,54,4,9,16,5,167,9,150,30,5,35,"95",9.5
"67972",4,"5","4670","1236","168",42,54,4,9,16,5,9,9,125,30,5,36,"95",8.5
"67973",4,"5","4670","1286","210",42,54,4,9,16,5,167,9,150,30,5,36,"95",8.1
"67974",4,"5","4670","1335","168",42,54,4,9,16,5,9,9,125,31,5,36,"95",9.3
"67975",4,"5","4670","1421","285",44,54,4,9,17,2,167,9,115,31,6,36,"diesel",6
"67976",4,"5","4670","1304","235",44,54,4,9,17,2,167,9,110,30,4,35,"diesel",6.6
"67977",4,"5","4670","1395","285",44,54,4,9,17,2,167,9,115,30,4,35,"diesel",6.8
"67978",4,"5","4675","1294","210",44,54,4,9,17,2,167,9,90,30,4,35,"diesel",6.5
"67979",4,"5","4670","1280","235",44,54,4,9,17,2,167,9,110,30,5,36,"diesel",5.3
"67980",4,"5","4670","1319","285",44,54,4,9,17,2,167,9,115,30,5,36,"diesel",5.3
"67981",4,"5","4675","1280","210",44,54,4,9,17,2,167,9,90,30,5,36,"diesel",5.3
"67982",4,"5","4670","1384","235",44,54,4,9,17,2,167,9,110,31,5,36,"diesel",5.8
"67985",4,"5","4670","1341","205",42,53,5,9,16,2,9,9,150,30,5,35,"95",10.7
"67986",4,"5","4670","1295","205",42,53,5,9,16,2,9,9,150,30,5,36,"95",9.1
"67987",4,"5","4670","1381","205",42,53,5,9,16,2,9,9,150,31,5,36,"95",10
"67988",4,"5","4703","1531","310",44,53,6,9,17,4,167,9,150,31,5,35,"diesel",8.6
"67989",4,"5","4703","1487","310",44,53,6,9,17,4,167,9,150,31,6,36,"diesel",7.8
"67990",4,"5","4703","1463","310",44,53,6,9,17,4,167,9,150,30,5,35,"diesel",7.8
"67991",4,"5","4703","1423","310",44,53,6,9,17,4,167,9,150,30,6,36,"diesel",6.8
"67992",4,"5","4670","1461","280",42,53,6,9,16,5,9,9,193,31,4,35,"95",11
"67993",4,"5","4670","1413","280",42,53,6,9,16,5,9,9,193,31,5,36,"95",10
"67994",8,"5","4675","1270","140",42,54,4,9,16,2,9,9,101,30,4,35,"95",8.9
"67995",8,"5","4675","1270","140",41,54,4,9,16,2,9,9,101,30,5,36,"95",8.2
"67996",8,"5","4675","1299","168",42,54,4,9,16,5,9,9,125,30,4,35,"95",9.2
"67997",8,"5","4675","1315","168",42,54,4,9,16,5,9,9,125,30,5,36,"95",8.8
"67998",8,"5","4675","1377","168",42,54,4,9,16,5,9,9,125,31,5,36,"95",9.4
"67999",8,"5","4675","1385","210",42,54,4,9,16,5,167,9,150,30,5,35,"95",9.5
"68000",8,"5","4675","1317","210",42,54,4,9,16,5,167,9,150,30,5,36,"95",8.4
"68001",8,"5","4675","1360","285",42,54,4,9,17,2,167,9,115,31,6,36,"diesel",6.1
