"","left daughter","right daughter","split var","split point","status","prediction"
"3620",4238,4239,"mixed_fuel_consumption_per_100_km_l",9.15,-3,8.99992001690768
"3621",4240,4241,"engine_hp",94.5,-3,8.99952571429469
"3622",0,0,NA,0,-1,9
"3623",0,0,NA,0,-1,9
"3624",0,0,NA,0,-1,9
"3625",0,0,NA,0,-1,9
"3626",4242,4243,"highway_fuel_per_100km_l",5.65,-3,9
"3627",0,0,NA,0,-1,9
"3628",4244,4245,"capacity_cm3",10.65,-3,9
"3629",0,0,NA,0,-1,8.99188971443917
"3630",4246,4247,"stroke_cycle_mm",82.5,-3,9
"3631",4248,4249,"mixed_fuel_consumption_per_100_km_l",10.45,-3,8.9
"3632",0,0,NA,0,-1,9
"3633",4250,4251,"turnover_of_maximum_torque_rpm",6.3,-3,9
"3634",4252,4253,"fuel_tank_capacity_l",5.3491627506784,-3,9
"3635",0,0,NA,0,-1,9
"3636",4254,4255,"number_of_cylinders",5,-3,9
"3637",0,0,NA,0,-1,9
"3638",0,0,NA,0,-1,9
"3639",0,0,NA,0,-1,9
"3640",4256,4257,"X",48028.5,-3,9
"3641",0,0,NA,0,-1,9
"3642",0,0,NA,0,-1,9
"3643",0,0,NA,0,-1,9
"3644",4258,4259,"X",40416.5,-3,8.99098857159908
"3645",4260,4261,"engine_hp",102.5,-3,8.98648285739862
"3646",4262,4263,"Year_from",1981.5,-3,8.98873571449885
"3647",4264,4265,"highway_fuel_per_100km_l",5.05,-3,8.98648285739862
"3648",4266,4267,"length_mm",3.5,-3,8.99855173472128
"3649",4268,4269,"curb_weight_kg",4.97404840169597,-3,8.98986214304897
"3650",4270,4271,"engine_hp_rpm",5.5,-3,8.99912792628378
"3651",0,0,NA,0,-1,8.98648285739862
"3652",0,0,NA,0,-1,8.98648285739862
"3653",4272,4273,"X",57373.5,-3,9
"3654",0,0,NA,0,-1,9
"3655",4274,4275,"turnover_of_maximum_torque_rpm",80,-3,9
"3656",0,0,NA,0,-1,9
"3657",0,0,NA,0,-1,9
"3658",4276,4277,"Year_from",0,-3,9
"3659",0,0,NA,0,-1,9
"3660",0,0,NA,0,-1,9
"3661",0,0,NA,0,-1,9
"3662",4278,4279,"X",34669.5,-3,9
"3663",0,0,NA,0,-1,9
"3664",4280,4281,"X",62185,-3,8.99064197819905
"3665",0,0,NA,0,-1,9
"3666",0,0,NA,0,-1,8.98648285739862
"3667",4282,4283,"Year_from",0,-3,8.98648285739862
"3668",0,0,NA,0,-1,9
"3669",4284,4285,"Year_from",1976.5,-3,8.98648285739862
"3670",0,0,NA,0,-1,9
"3671",4286,4287,"maximum_torque_n_m",0,-3,9
"3672",4288,4289,"curb_weight_kg",17.1,-3,9
"3673",0,0,NA,0,-1,9
"3674",0,0,NA,0,-1,8.98648285739862
"3675",0,0,NA,0,-1,8.98648285739862
"3676",0,0,NA,0,-1,8.98648285739862
"3677",4290,4291,"fuel_tank_capacity_l",8.68195133779265,-3,9
"3678",0,0,NA,0,-1,9
"3679",4292,4293,"cylinder_bore_mm",107,-3,9
"3680",4294,4295,"stroke_cycle_mm",79.5,-3,9
"3681",0,0,NA,0,-1,9
"3682",4296,4297,"engine_hp",171,-3,9
"3683",0,0,NA,0,-1,9
"3684",0,0,NA,0,-1,8.98648285739862
"3685",0,0,NA,0,-1,9
"3686",0,0,NA,0,-1,9
"3687",4298,4299,"stroke_cycle_mm",87,-3,9
"3688",0,0,NA,0,-1,8.98648285739862
"3689",0,0,NA,0,-1,8.98648285739862
"3690",4300,4301,"cylinder_bore_mm",94.5,-3,9
"3691",0,0,NA,0,-1,9
"3692",4302,4303,"city_fuel_per_100km_l",0,-3,9
"3693",0,0,NA,0,-1,9
"3694",0,0,NA,0,-1,9
"3695",4304,4305,"highway_fuel_per_100km_l",6.83979590061247,-3,9
"3696",4306,4307,"mixed_fuel_consumption_per_100_km_l",6.25,-3,9
