"","left daughter","right daughter","split var","split point","status","prediction"
"2944",3492,3493,"X",15256,-3,9
"2945",3494,3495,"Year_from",4.5,-3,9
"2946",0,0,NA,0,-1,9
"2947",0,0,NA,0,-1,9
"2948",0,0,NA,0,-1,8.98648285739862
"2949",3496,3497,"cylinder_bore_mm",98.5,-3,9
"2950",3498,3499,"fuel_tank_capacity_l",8.6,-3,9
"2951",3500,3501,"turnover_of_maximum_torque_rpm",0,-3,9
"2952",3502,3503,"number_of_seats",0,-3,9
"2953",3504,3505,"stroke_cycle_mm",0,-3,9
"2954",3506,3507,"maximum_torque_n_m",1.5,-3,9
"2955",3508,3509,"acceleration_0_100_km.h_s",14.05,-3,9
"2956",0,0,NA,0,-1,9
"2957",3510,3511,"wheelbase_mm",130.5,-3,9
"2958",3512,3513,"Year_from",2003.5,-3,9
"2959",0,0,NA,0,-1,9
"2960",0,0,NA,0,-1,9
"2961",0,0,NA,0,-1,9
"2962",0,0,NA,0,-1,8.98648285739862
"2963",0,0,NA,0,-1,8.98648285739862
"2964",0,0,NA,0,-1,8.98648285739862
"2965",3514,3515,"engine_hp",149.5,-3,8.98648285739862
"2966",3516,3517,"cylinder_bore_mm",4.5,-3,8.98648285739862
"2967",3518,3519,"X",7354.5,-3,8.98648285739862
"2968",3520,3521,"number_of_seats",4.5,-3,9
"2969",3522,3523,"maximum_torque_n_m",1.5,-3,9
"2970",3524,3525,"engine_hp",162.5,-3,9
"2971",3526,3527,"highway_fuel_per_100km_l",7.68979590061247,-3,9
"2972",3528,3529,"city_fuel_per_100km_l",0,-3,9
"2973",3530,3531,"fuel_tank_capacity_l",8.5,-3,9
"2974",3532,3533,"city_fuel_per_100km_l",23.4,-3,9
"2975",0,0,NA,0,-1,9
"2976",0,0,NA,0,-1,9
"2977",0,0,NA,0,-1,9
"2978",3534,3535,"acceleration_0_100_km.h_s",0,-3,9
"2979",0,0,NA,0,-1,9
"2980",3536,3537,"fuel_tank_capacity_l",12.9,-3,9
"2981",3538,3539,"city_fuel_per_100km_l",25.95,-3,9
"2982",3540,3541,"turnover_of_maximum_torque_rpm",0,-3,9
"2983",0,0,NA,0,-1,9
"2984",3542,3543,"number_of_cylinders",7,-3,9
"2985",3544,3545,"X",8688.5,-3,9
"2986",0,0,NA,0,-1,9
"2987",0,0,NA,0,-1,9
"2988",3546,3547,"cylinder_bore_mm",5.3,-3,9
"2989",3548,3549,"highway_fuel_per_100km_l",10.95,-3,9
"2990",3550,3551,"city_fuel_per_100km_l",11.25,-3,9
"2991",3552,3553,"city_fuel_per_100km_l",12.75,-3,9
"2992",3554,3555,"acceleration_0_100_km.h_s",10.55,-3,9
"2993",0,0,NA,0,-1,9
"2994",0,0,NA,0,-1,9
"2995",3556,3557,"maximum_torque_n_m",87,-3,9
"2996",3558,3559,"mixed_fuel_consumption_per_100_km_l",10.15,-3,9
"2997",3560,3561,"X",997.5,-3,9
